date,ap,speaker,title,firmconference,num_cop_members,file_cate,speech_sequence,content,CEO,handcollectfirm,yearstr,CEOspeaker,gvkey,cusip,year,month,quater,datacqtr,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datafqtr,finalq,fdateq,atq,exchg,cik,costat,_merge,gvkey1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,16,"Brian, why don't you hit the first one? I'll try --",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,105,"Well, I think, as you know, that's not a new phenomena, and so, this stuff happens. We had Kraft recently and their acquisition. We weather these. Our contracts are built to weather them. The renegotiations that might occur -- I mean, it rarely, rarely impacts us in any significant way. We try to take advantage of efficiencies for that new merged client, but it's a pretty productive exercise. We don't have the notion that you might conjure up -- oh, my gosh, you get acquired. One goes away, and the other one -- that's not the way it works. You usually just combine footprints, you combine resources, and at the end of the day, you simplify our business, and we don't lose a lot on that revenue line. That's the way it's always been, and I expect that's the way it will always be.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,18,"With respect to the cadence on our development, actually, I can't foresee a certain cadence that I'd want to express, other than this. For the last 18 months, we have steadily tried to go longer on the development of the rural parts of these geographies, China, India, and, of course, broadly across Africa. To go longer -- and longer, for us, means building the footprint that delivers the metrics, creates the trends ahead of our clients' willingness to pay us. So we're going long. We're trying to develop the trends and all the insights, so that three years from now, they're willing to pay us, at the going rate, to do this. We have been bearing that burden now, for roughly, a year, and, as I said, we started this almost 18 months ago. And as -- when I use the term, fully invested, it reflects that -- the notion that we're trying to get three years ahead in these very important markets. The underlying growth really -- doesn't really depend on that, because I don't expect it to foster more for us, except in the second, third year, if you start today. So that underlying growth trend, the 19% -- it's just there. That's what we're doing today, based on the footprint that we have, and so far, so good.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,52,"Listen, I -- it's the most asked question. It's the one we're the most focused on. I think, needless to say, all the content interests are looking for three screen measure, simply to broaden the audience and get more, of course, advertising revenue associated with it. I will say the use of a three screen metric is still very, very, very small -- almost undetectable. I think some of the -- there are certain clients, ESBN, who, I think, are getting really good at how to use three screen metrics. There's no single metric they rely on, and they've got great research folks, and they use it to their advantage. I would call the three -- the use of three screen metric -- I'd call it nascent, at the best, but it really does offer a lot of advantage, going forward, and, as you know, we're very focused on providing a broad set of metrics that allows them to do this well. So, I don't think you'll see big revenue moves, in the measurement world, from any of the players on this subject in the near-term, but I think, in the long-term, it becomes very important for us -- for all of us and will provide for long-term double digit growth.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,12,Yes.,Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,107,"Thanks, everyone, and I think that wraps it up. Talk to you next quarter.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,26,"It reflects that. Brian will probably want to comment. It reflects just what you're saying. Remember, investment for us is operating expense. Right? It's data acquisition, every day, all day, in these markets. So it is operating expense for us, and so, for us, 30 point margin expansion is a fully invested scenario. It's mostly focused on developing market footprint.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,36,"And there's no rush to move on it. It's -- opportunistically, it works for us, so we're not in a rush, but if the right thing came along, of course, we'd think about it.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,48,"It's also -- only other thing I would mention is the cycle. These share gains -- you don't actually realize the benefits for, sometimes, 12 to 18 months after you might win something. So that's the kind of cycle we're looking at here, and these reflect share gains that were probably won early part of last year.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,50,No.,Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
